,Topic,Word,P
0,0,stupid,8669.846381402398
1,0,get,7999.274787696624
2,0,time,6094.022982555365
3,0,would,5863.846303512208
4,0,go,5293.5064249845345
5,0,year,4828.409127043679
6,0,think,4204.729357115399
7,0,pathetic,3910.8248385950956
8,0,one,3894.3239499423244
9,0,take,3488.7080901889526
10,0,really,3353.7701039183994
11,0,back,3304.3396691853663
12,0,problem,3266.7089645056985
13,0,even,3225.042757038057
14,0,well,3167.9035123865406
15,1,country,9839.772959102305
16,1,canada,5299.296719352826
17,1,liberal,5097.825205322094
18,1,lie,4756.23366824725
19,1,canadian,4583.868361747162
20,1,war,3486.5562587824743
21,1,left,3437.454191986756
22,1,head,3182.778623749589
23,1,trudeau,3061.9241916979977
24,1,side,2350.80071460193
25,1,american,2298.6183325402344
26,1,right,2274.7350759498167
27,1,lol,2230.8239781874986
28,1,wing,2204.346247453964
29,1,military,1905.9676579810705
30,2,woman,6570.112225682539
31,2,child,5177.940566939592
32,2,family,3508.0999147555367
33,2,gay,3474.885959246948
34,2,men,3431.3151212955263
35,2,kid,3334.597484290517
36,2,sex,3071.495453029636
37,2,gun,3050.274603425958
38,2,life,2917.874320099228
39,2,kill,2819.8171276969033
40,2,one,2716.673393887909
41,2,sexual,2568.597267928139
42,2,crime,2545.961185699501
43,2,would,2321.7034788176225
44,2,get,2308.183420471494
45,3,trump,17734.07096977143
46,3,white,14012.790130960857
47,3,black,8689.532436996997
48,3,president,8443.692793851278
49,3,racist,7883.3194381617905
50,3,one,6638.846482651733
51,3,would,5156.1693730430825
52,3,man,4929.656057018073
53,3,comment,4434.22083383986
54,3,hate,4133.987229269208
55,3,think,3943.3506934984903
56,3,person,3732.818106744931
57,3,loser,3725.036777577624
58,3,fact,3696.0923970105
59,3,medium,3227.566878504603
60,4,muslim,5640.045978140883
61,4,law,3439.9821555488593
62,4,terrorist,2999.885902935155
63,4,christian,2803.5767395614375
64,4,russian,2496.1158563188696
65,4,call,2446.0008897419843
66,4,question,2386.922790485099
67,4,god,2215.7625239097847
68,4,ignorance,2214.1862701361415
69,4,claim,2201.063415746657
70,4,illegal,2072.9786170450684
71,4,church,1991.1131826870933
72,4,blame,1975.026024280904
73,4,religion,1873.732560801241
74,4,state,1808.9222108224872
75,5,trump,16789.959560434385
76,5,get,7917.360224445562
77,5,one,6500.646548861314
78,5,would,6369.817499495038
79,5,money,6254.045757063765
80,5,tax,6073.676619521054
81,5,idiot,5953.5682576064555
82,5,going,5555.289268256428
83,5,republican,5552.274755246967
84,5,stupid,5473.418004927535
85,5,state,5386.132727667324
86,5,keep,5279.126047035082
87,5,government,5111.155617069115
88,5,fool,5023.140933427231
89,5,time,4980.788579806515
